dtime,time,open,high,low,close,vwap,volume,count
2019-02-05,1549324800,2989.5,3010.0,2976.2,3008.5,2999.0,3637.55029918,11478
2019-02-04,1549238400,2983.4,3000.0,2963.1,2989.5,2986.8,3582.51130962,12301
2019-02-03,1549152000,3028.6,3032.3,2959.4,2983.4,2987.3,1643.38809714,8950
2019-02-02,1549065600,3001.1,3044.9,2982.5,3028.6,3001.6,2138.63385821,9348
2019-02-01,1548979200,2979.2,3014.1,2951.5,3001.1,2984.9,4066.03297181,12973
2019-01-31,1548892800,2998.4,3025.1,2964.0,2978.7,2982.3,3881.09687978,13877
2019-01-30,1548806400,2973.4,3030.3,2955.1,2999.9,3006.5,4384.48683054,13327
2019-01-29,1548720000,3003.3,3011.5,2925.8,2973.4,2969.7,4116.25311406,12857
2019-01-28,1548633600,3096.6,3100.0,2956.0,3003.3,3004.4,6564.04711739,20863
2019-01-27,1548547200,3126.0,3130.9,3040.6,3096.6,3103.3,2236.88067069,12906
2019-01-26,1548460800,3126.5,3206.9,3112.5,3126.0,3149.9,2429.86885071,10439
2019-01-25,1548374400,3158.7,3161.1,3101.0,3126.5,3131.8,4324.66467791,13005
2019-01-24,1548288000,3126.6,3182.3,3104.8,3158.7,3142.1,3528.50066084,13890
2019-01-23,1548201600,3149.4,3188.1,3101.0,3126.6,3145.6,5194.5856818,15072
2019-01-22,1548115200,3112.7,3182.9,3030.6,3149.4,3128.7,6592.66204481,18475
2019-01-21,1548028800,3113.7,3149.0,3063.3,3112.7,3115.6,4534.12629219,13957
2019-01-20,1547942400,3245.3,3262.3,3052.4,3110.4,3143.1,4101.11347877,16156
2019-01-19,1547856000,3179.9,3344.8,3177.1,3245.3,3254.9,3672.85953583,14983
2019-01-18,1547769600,3196.5,3200.0,3154.6,3179.9,3179.0,4245.91040061,10858
2019-01-17,1547683200,3168.0,3228.9,3109.5,3196.5,3169.1,6446.85259632,16720
2019-01-16,1547596800,3149.2,3230.0,3140.2,3167.8,3175.5,5519.1983184,16794
2019-01-15,1547510400,3197.6,3214.3,3114.0,3149.2,3186.1,5364.33819173,16834
2019-01-14,1547424000,3074.0,3240.0,3068.0,3197.6,3147.6,7289.00944921,22470
2019-01-13,1547337600,3168.1,3188.0,3052.2,3074.0,3107.7,3533.37423226,14811
2019-01-12,1547251200,3174.9,3196.1,3129.9,3168.1,3172.3,2375.91687714,11797
2019-01-11,1547164800,3162.7,3235.4,3051.0,3174.9,3173.0,6768.90096994,20893
2019-01-10,1547078400,3465.2,3497.2,3105.2,3162.7,3274.3,11143.0091868,31434
2019-01-09,1546992000,3496.7,3539.9,3460.1,3465.2,3494.8,4804.19151634,17659
2019-01-08,1546905600,3498.0,3591.2,3452.2,3495.6,3519.4,7394.26558008,20630
2019-01-07,1546819200,3543.7,3565.5,3470.0,3498.0,3513.2,5422.21980894,17742
2019-01-06,1546732800,3342.7,3600.0,3306.9,3543.7,3450.0,6353.25457068,20484
2019-01-05,1546646400,3365.0,3410.9,3331.0,3342.7,3373.5,3498.52306561,13575
2019-01-04,1546560000,3331.6,3384.0,3291.9,3365.0,3329.1,5002.06187065,16573
2019-01-03,1546473600,3438.6,3446.1,3300.4,3331.6,3369.5,5843.45594351,19035
2019-01-02,1546387200,3344.9,3458.0,3294.0,3443.8,3377.2,6157.09535142,21685
2019-01-01,1546300800,3235.9,3353.6,3190.6,3345.0,3269.0,4246.02202273,15222
2018-12-31,1546214400,3366.1,3372.0,3201.3,3235.9,3291.6,6253.74643164,18146
2018-12-30,1546128000,3277.9,3395.0,3241.6,3365.4,3335.2,4040.161731,19904
2018-12-29,1546041600,3416.0,3458.0,3260.8,3278.3,3386.4,4589.22078714,19289
2018-12-28,1545955200,3152.7,3467.1,3133.0,3416.0,3294.8,8094.62363877,29518
2018-12-27,1545868800,3358.0,3382.8,3128.3,3152.7,3253.5,7183.86822113,24729
2018-12-26,1545782400,3327.9,3396.2,3247.0,3358.0,3321.6,3870.78977575,19384
2018-12-25,1545696000,3543.0,3553.3,3235.0,3327.9,3322.7,9123.76950055,29726
2018-12-24,1545609600,3478.5,3728.0,3477.3,3545.6,3626.6,11036.2027242,36582
2018-12-23,1545523200,3508.7,3589.0,3452.3,3478.5,3520.7,5563.93758555,22021
2018-12-22,1545436800,3387.0,3533.0,3345.0,3508.4,3416.4,5969.03082958,22737
2018-12-21,1545350400,3560.0,3632.6,3320.0,3387.0,3481.8,12829.98305163,40353
2018-12-20,1545264000,3237.2,3654.2,3214.2,3559.7,3497.2,16221.41715695,50171
2018-12-19,1545177600,3231.6,3454.8,3209.0,3237.2,3314.8,14693.60903606,44601
2018-12-18,1545091200,3090.4,3244.0,3027.4,3231.6,3107.6,8591.99918376,28991
2018-12-17,1545004800,2831.8,3169.8,2821.0,3090.5,3010.9,11092.30154361,33805
2018-12-16,1544918400,2821.4,2889.3,2817.4,2831.8,2853.0,3473.39429629,16017
2018-12-15,1544832000,2829.4,2861.6,2775.0,2822.6,2811.9,4526.19174496,17191
2018-12-14,1544745600,2877.6,2909.3,2780.0,2829.4,2848.7,9361.84667097,28068
2018-12-13,1544659200,3023.3,3025.9,2837.7,2877.5,2936.1,7711.3872058,25440
2018-12-12,1544572800,2959.9,3072.4,2941.9,3023.3,3013.3,6901.26789887,21480
2018-12-11,1544486400,3007.0,3027.3,2915.9,2960.4,2962.6,6397.35638805,21015
2018-12-10,1544400000,3100.0,3154.4,2965.9,3007.0,3037.0,6716.04371355,23589
2018-12-09,1544313600,2988.1,3200.0,2970.0,3100.0,3074.3,5749.71724252,22346
2018-12-08,1544227200,2978.7,3074.4,2857.7,2989.9,2968.8,7537.65788413,29500
2018-12-07,1544140800,3031.9,3117.2,2824.1,2978.7,2961.2,18471.06811029,50368
2018-12-06,1544054400,3259.3,3395.0,3023.1,3031.4,3226.0,13731.43833838,39585
2018-12-05,1543968000,3448.4,3457.6,3243.2,3259.3,3343.2,7562.19920671,25972
2018-12-04,1543881600,3383.7,3559.9,3295.2,3448.4,3448.6,6813.24695057,24117
2018-12-03,1543795200,3619.1,3634.9,3310.2,3383.7,3445.4,9305.82042328,24700
2018-12-02,1543708800,3665.5,3769.9,3568.7,3622.0,3651.6,5826.70253674,18790
2018-12-01,1543622400,3516.5,3775.7,3460.0,3665.5,3655.6,6157.80859117,24047
2018-11-30,1543536000,3729.9,3782.4,3400.9,3516.5,3552.5,10753.82509529,29636
2018-11-29,1543449600,3722.9,3897.0,3111.0,3729.9,3720.5,13310.36001194,35835
2018-11-28,1543363200,3348.1,3876.9,3348.1,3722.9,3680.4,17503.43261205,45576
2018-11-27,1543276800,3291.5,3399.8,3156.0,3348.1,3278.2,10727.03498858,30493
2018-11-26,1543190400,3475.1,3586.1,3111.0,3294.8,3338.5,16315.77532174,42359
2018-11-25,1543104000,3336.4,3631.0,3050.1,3478.2,3320.6,18261.08429147,42985
2018-11-24,1543017600,3777.0,3850.0,3223.3,3336.4,3521.1,10392.32029771,31623
2018-11-23,1542931200,3737.2,3836.7,3593.3,3777.0,3743.5,10240.88581269,31744
2018-11-22,1542844800,3984.3,4029.9,3700.0,3736.5,3892.6,8279.87644311,26904
2018-11-21,1542758400,3831.9,4053.0,3705.1,3986.8,3907.9,10893.32209087,30754
2018-11-20,1542672000,4051.8,4238.6,3513.8,3831.8,3880.1,25032.25012561,73767
2018-11-19,1542585600,4867.6,4869.3,4000.1,4051.8,4415.5,14772.41189873,47753
2018-11-18,1542499200,4820.0,4985.7,4815.9,4867.1,4861.1,2626.70735834,10610
2018-11-17,1542412800,4821.3,4849.9,4772.5,4819.8,4806.7,2067.36395066,11045
2018-11-16,1542326400,4915.6,4944.8,4740.4,4821.3,4853.9,5534.37055148,19232
2018-11-15,1542240000,4981.7,5010.0,4617.7,4915.6,4829.0,10222.84936564,37811
2018-11-14,1542153600,5550.9,5579.9,4759.1,4981.7,5127.3,13518.70941535,48391
2018-11-13,1542067200,5637.0,5637.0,5542.0,5550.9,5597.6,2781.88793118,13529
2018-11-12,1541980800,5612.9,5659.0,5612.9,5637.0,5640.3,1924.95278482,11532
2018-11-11,1541894400,5596.8,5613.0,5541.9,5612.9,5589.1,1059.362764,7153
2018-11-10,1541808000,5589.8,5627.8,5587.3,5596.8,5610.6,966.81343228,11549
2018-11-09,1541721600,5634.6,5669.9,5562.3,5589.8,5615.0,2857.69164541,16646
2018-11-08,1541635200,5689.3,5697.0,5626.8,5634.6,5658.4,1874.24884768,13438
2018-11-07,1541548800,5642.9,5725.9,5642.9,5689.3,5682.0,3042.93794064,14686
2018-11-06,1541462400,5601.0,5650.0,5595.8,5642.9,5624.0,3001.26971286,18548
2018-11-05,1541376000,5624.8,5639.9,5580.2,5601.0,5617.7,2103.87683663,13079
2018-11-04,1541289600,5555.8,5655.3,5531.6,5624.8,5601.6,1984.43517212,12632
2018-11-03,1541203200,5571.9,5579.3,5539.5,5555.8,5555.2,1192.68664927,9285
2018-11-02,1541116800,5557.1,5590.6,5538.4,5571.9,5565.9,2378.69137065,15989
2018-11-01,1541030400,5579.0,5579.8,5528.0,5557.0,5546.7,2051.4897387,10187
2018-10-31,1540944000,5533.4,5609.6,5480.8,5579.0,5543.2,2211.23975998,11900
2018-10-30,1540857600,5502.3,5549.9,5498.2,5533.4,5516.9,1788.57954446,12679
2018-10-29,1540771200,5631.2,5639.7,5420.2,5502.6,5533.8,3839.40727766,18326
2018-10-28,1540684800,5626.7,5638.0,5605.0,5631.2,5617.6,809.11949177,6129
2018-10-27,1540598400,5616.4,5638.0,5602.4,5626.7,5621.3,819.20466107,6128
2018-10-26,1540512000,5624.2,5698.7,5609.4,5616.4,5636.7,2044.77664656,13623
2018-10-25,1540425600,5629.2,5640.1,5580.3,5624.2,5618.0,2113.78155085,11094
2018-10-24,1540339200,5576.6,5658.0,5575.1,5628.5,5630.0,2695.43636875,14840
2018-10-23,1540252800,5592.3,5599.9,5560.0,5576.6,5580.4,2447.91554048,14920
2018-10-22,1540166400,5572.2,5612.4,5555.1,5592.3,5580.9,2110.5405585,11975
2018-10-21,1540080000,5580.3,5620.0,5566.3,5573.8,5599.3,1109.35407907,7926
2018-10-20,1539993600,5560.9,5597.6,5541.9,5581.8,5576.4,916.51929513,6369
2018-10-19,1539907200,5581.6,5593.4,5545.0,5561.0,5566.1,2469.10884912,9594
2018-10-18,1539820800,5607.1,5639.9,5537.3,5581.6,5593.7,2322.81211921,11084
2018-10-17,1539734400,5593.8,5625.4,5551.0,5607.1,5587.5,3086.25163483,12398
2018-10-16,1539648000,5555.8,5630.0,5529.5,5593.8,5569.1,3342.67606751,13714
2018-10-15,1539561600,5357.3,5849.9,5327.9,5555.8,5589.4,12602.88637964,37925
2018-10-14,1539475200,5387.0,5464.5,5326.0,5357.3,5399.8,1941.56247884,9877
2018-10-13,1539388800,5369.3,5404.5,5357.1,5387.0,5387.6,1342.4215614,7682
2018-10-12,1539302400,5314.9,5405.8,5276.3,5369.3,5370.6,2973.93026567,19785
2018-10-11,1539216000,5668.8,5668.8,5261.5,5314.7,5385.5,8379.34170645,34006
2018-10-10,1539129600,5745.0,5745.0,5608.0,5668.8,5668.0,3373.93932552,11602
2018-10-09,1539043200,5757.0,5779.1,5730.0,5745.0,5750.3,2653.87032922,10356
2018-10-08,1538956800,5690.8,5807.5,5683.4,5757.0,5753.8,3251.10181537,15068
2018-10-07,1538870400,5691.9,5712.5,5626.4,5690.9,5673.2,1753.31886012,12493
2018-10-06,1538784000,5725.0,5732.0,5669.7,5691.9,5690.3,1169.28162688,10350
2018-10-05,1538697600,5690.9,5776.0,5659.4,5725.0,5699.7,2323.78493979,10725
2018-10-04,1538611200,5621.6,5735.9,5614.0,5690.9,5691.4,2811.43693731,13201
2018-10-03,1538524800,5628.8,5645.3,5530.0,5621.3,5604.1,5398.96416794,17749
2018-10-02,1538438400,5679.5,5700.0,5600.0,5628.8,5666.6,2445.7163021,11817
2018-10-01,1538352000,5683.6,5719.0,5584.0,5677.9,5669.2,2783.18002948,14974
2018-09-30,1538265600,5675.7,5716.8,5612.9,5687.0,5671.4,1424.48398348,9379
2018-09-29,1538179200,5708.9,5708.9,5565.6,5668.1,5640.4,2042.14477041,11800
2018-09-28,1538092800,5738.7,5861.0,5620.1,5708.9,5741.9,4225.51949022,17767
2018-09-27,1538006400,5496.3,5760.5,5496.3,5738.7,5585.1,2683.53875848,12998
2018-09-26,1537920000,5472.2,5572.0,5425.1,5496.8,5519.2,3181.28597652,16175
2018-09-25,1537833600,5599.7,5600.2,5385.0,5472.2,5451.2,3691.50801126,18773
2018-09-24,1537747200,5691.7,5708.4,5415.0,5599.7,5606.9,4024.55746985,19183
2018-09-23,1537660800,5707.1,5749.9,5656.5,5691.7,5704.9,1573.41208568,14034
2018-09-22,1537574400,5734.4,5795.4,5626.8,5707.1,5692.8,2877.3452007,17572
2018-09-21,1537488000,5514.0,5766.7,5271.0,5734.4,5672.0,6380.81221265,30986
2018-09-20,1537401600,5478.2,5596.9,5385.2,5514.0,5473.7,4368.84785444,16929
2018-09-19,1537315200,5423.5,5599.8,5240.0,5478.2,5418.9,4927.65302547,18341
2018-09-18,1537228800,5359.6,5452.6,5329.8,5420.2,5400.2,3526.20430214,15228
2018-09-17,1537142400,5586.9,5610.0,5301.7,5359.6,5434.3,4826.39264631,20555
2018-09-16,1537056000,5605.0,5608.0,5490.0,5586.9,5563.1,1381.43508086,8266
2018-09-15,1536969600,5572.8,5648.9,5561.5,5605.0,5610.8,1233.26033015,9169
2018-09-14,1536883200,5553.6,5629.8,5450.5,5572.8,5563.9,3853.8864976,18242
2018-09-13,1536796800,5442.1,5659.7,5375.0,5556.6,5545.3,6125.93247781,23678
2018-09-12,1536710400,5413.6,5493.8,5347.8,5442.1,5401.8,3685.588925,18649
2018-09-11,1536624000,5439.9,5523.3,5321.6,5413.6,5418.7,4139.80031755,17682
2018-09-10,1536537600,5398.9,5515.6,5382.1,5439.8,5433.0,3773.36350578,17348
2018-09-09,1536451200,5369.2,5600.0,5330.1,5398.9,5468.3,2747.14219504,14087
2018-09-08,1536364800,5530.6,5596.0,5301.0,5369.2,5433.0,3722.19131073,15160
2018-09-07,1536278400,5599.0,5620.0,5421.0,5530.6,5556.3,4845.57256058,17833
2018-09-06,1536192000,5752.9,5762.7,5385.5,5599.0,5523.7,10004.84610508,29785
2018-09-05,1536105600,6341.6,6380.7,5720.1,5752.9,6037.2,7459.95410866,29580
2018-09-04,1536019200,6243.2,6389.9,6228.9,6341.6,6333.9,3186.17121011,15109
2018-09-03,1535932800,6281.1,6300.0,6188.0,6243.2,6249.3,2735.72941375,14025
2018-09-02,1535846400,6178.4,6326.9,6130.0,6280.9,6243.8,2855.51128328,13840
2018-09-01,1535760000,6031.2,6239.0,6030.2,6178.4,6133.3,3130.65948751,15905
2018-08-31,1535673600,5980.7,6100.0,5910.1,6031.2,6002.0,3257.30406596,16236
2018-08-30,1535587200,5998.5,6023.6,5814.9,5980.7,5911.3,4250.390132,18349
2018-08-29,1535500800,6052.0,6109.9,5914.0,5998.5,6026.4,3939.29355442,17729
2018-08-28,1535414400,5899.0,6096.0,5874.8,6052.0,5993.6,5046.14058509,19274
2018-08-27,1535328000,5764.9,5935.0,5720.0,5899.0,5790.1,3350.45934073,12199
2018-08-26,1535241600,5789.6,5825.0,5659.0,5764.9,5742.3,1875.14070983,9141
2018-08-25,1535155200,5758.9,5840.0,5722.0,5789.9,5774.6,2306.69466793,9261
2018-08-24,1535068800,5652.2,5795.4,5565.4,5758.9,5677.1,3593.70790482,14046
2018-08-23,1534982400,5481.2,5689.6,5472.2,5652.2,5587.2,4672.27832405,13610
2018-08-22,1534896000,5593.1,5936.0,5380.0,5481.2,5654.6,7915.82313101,24808
2018-08-21,1534809600,5456.6,5629.9,5432.9,5593.1,5552.7,4787.98212887,14465
2018-08-20,1534723200,5670.0,5701.8,5376.0,5456.6,5591.2,4531.50582007,13827
2018-08-19,1534636800,5604.3,5755.0,5541.5,5670.0,5639.9,2750.19146473,11249
2018-08-18,1534550400,5760.7,5783.0,5505.0,5604.3,5616.7,3541.92007287,14740
2018-08-17,1534464000,5566.0,5782.8,5551.2,5760.7,5692.4,3772.3229732,16977
2018-08-16,1534377600,5537.3,5700.0,5474.8,5566.0,5600.5,4629.26217558,17476
2018-08-15,1534291200,5461.2,5880.0,5455.0,5537.3,5655.0,8284.9408564,26478
2018-08-14,1534204800,5498.0,5498.8,5166.1,5461.2,5330.6,8626.96971178,30734
2018-08-13,1534118400,5544.4,5767.9,5402.0,5498.0,5581.2,5981.13498505,22037
2018-08-12,1534032000,5471.3,5714.3,5410.0,5544.4,5545.6,4032.28017088,22549
2018-08-11,1533945600,5380.3,5719.8,5257.8,5471.3,5465.4,4400.28655117,23825
2018-08-10,1533859200,5673.8,5719.4,5015.0,5380.3,5526.2,6069.30462945,23885
2018-08-09,1533772800,5412.7,5750.0,5350.2,5673.8,5547.2,6327.52602602,20779
2018-08-08,1533686400,5792.0,5793.6,5275.0,5412.7,5530.5,8373.89646451,28703
2018-08-07,1533600000,6003.6,6159.9,5758.4,5792.0,6006.2,5978.27111986,21632
2018-08-06,1533513600,6071.5,6182.0,5921.2,6003.6,6027.8,3029.00860884,15322
2018-08-05,1533427200,6048.5,6123.6,5939.2,6071.5,6042.4,2675.54355612,12432
2018-08-04,1533340800,6400.0,6467.5,5981.5,6048.5,6168.0,4851.845117,16871
2018-08-03,1533254400,6498.8,6506.2,6279.6,6400.0,6383.8,4763.30887607,18857
2018-08-02,1533168000,6499.7,6600.0,6400.0,6499.1,6509.1,3186.06494154,15657
2018-08-01,1533081600,6600.6,6630.1,6353.0,6499.7,6461.1,6398.67173421,21617
2018-07-31,1532995200,6966.6,6967.7,6529.5,6600.6,6687.2,7161.54116393,26768
2018-07-30,1532908800,7041.8,7100.0,6703.4,6966.6,6914.7,5558.47974128,23648
2018-07-29,1532822400,7055.1,7116.7,6966.0,7041.8,7030.0,1651.11314601,10584
2018-07-28,1532736000,7008.7,7058.8,6923.9,7055.1,7004.4,1735.62290141,12496
2018-07-27,1532649600,6800.3,7091.1,6677.7,7008.7,6883.9,5683.84890472,24847
2018-07-26,1532563200,6954.6,7121.8,6732.4,6800.4,6957.2,5975.29627185,25076
2018-07-25,1532476800,7179.9,7250.0,6876.3,6954.6,7027.8,5752.88537974,27389
2018-07-24,1532390400,6600.5,7250.0,6588.0,7179.9,6963.9,10914.10966961,40594
2018-07-23,1532304000,6293.7,6686.9,6271.4,6600.5,6565.3,6613.94842042,27853
2018-07-22,1532217600,6297.0,6442.3,6204.6,6293.7,6352.7,2733.02412976,18543
2018-07-21,1532131200,6241.4,6339.1,6150.0,6297.0,6243.2,2791.74406933,14815
2018-07-20,1532044800,6409.5,6581.0,6165.7,6241.4,6353.2,5822.86775756,27525
2018-07-19,1531958400,6326.0,6482.3,6242.9,6409.5,6382.2,3966.46740149,21880
2018-07-18,1531872000,6261.5,6499.5,6226.0,6326.0,6360.6,6531.31317797,33437
2018-07-17,1531785600,5739.0,6375.5,5679.5,6261.5,6072.7,7324.21700241,27519
2018-07-16,1531699200,5438.0,5754.9,5422.8,5739.5,5587.0,6069.72671725,19898
2018-07-15,1531612800,5353.6,5489.9,5333.2,5438.0,5436.4,2988.12195143,15077
2018-07-14,1531526400,5322.1,5414.9,5295.7,5353.6,5338.5,1447.33970548,11674
2018-07-13,1531440000,5358.2,5427.0,5255.0,5322.1,5348.9,4136.72985364,13813
2018-07-12,1531353600,5459.8,5459.9,5217.4,5356.3,5308.6,4470.42793149,14440
2018-07-11,1531267200,5372.6,5460.0,5359.7,5459.8,5420.4,4157.04668344,12944
2018-07-10,1531180800,5660.6,5673.4,5354.2,5372.6,5488.6,5544.89262197,16994
2018-07-09,1531094400,5702.3,5781.7,5632.2,5660.6,5699.7,2800.03974086,13099
2018-07-08,1531008000,5746.0,5771.7,5676.7,5705.6,5735.8,2116.22347608,10381
2018-07-07,1530921600,5619.3,5793.4,5550.0,5746.0,5625.2,2026.82408349,9539
2018-07-06,1530835200,5580.7,5662.0,5510.0,5619.3,5588.7,2524.52535298,11791
2018-07-05,1530748800,5649.0,5745.0,5532.3,5580.7,5630.2,4076.57943777,15425
2018-07-04,1530662400,5576.4,5821.9,5503.0,5649.0,5661.9,3823.57755793,15860
2018-07-03,1530576000,5686.1,5726.8,5530.5,5575.0,5648.3,3248.50138657,16654
2018-07-02,1530489600,5433.4,5747.7,5382.5,5685.5,5607.7,3960.72429115,25042
2018-07-01,1530403200,5457.7,5499.9,5355.0,5433.4,5434.6,2120.88693595,14243
2018-06-30,1530316800,5304.1,5557.1,5299.8,5460.1,5446.1,3982.34472513,21481
2018-06-29,1530230400,5062.8,5388.9,4963.2,5304.1,5095.8,5312.92905887,18836
2018-06-28,1530144000,5304.7,5321.0,5037.1,5062.8,5209.0,3843.95256256,17106
2018-06-27,1530057600,5215.6,5335.2,5161.4,5304.8,5248.1,4020.29014801,22138
2018-06-26,1529971200,5340.0,5362.8,5195.5,5212.0,5300.7,5651.85468152,13954
2018-06-25,1529884800,5274.5,5430.0,5187.0,5338.9,5317.3,6338.97549007,15657
2018-06-24,1529798400,5290.8,5399.8,4953.2,5274.1,5146.8,8892.08958237,29616
2018-06-23,1529712000,5208.3,5367.0,5145.2,5290.8,5259.6,3581.56023872,15342
2018-06-22,1529625600,5797.6,5797.6,5105.0,5208.2,5357.3,14150.84077644,40147
2018-06-21,1529539200,5837.4,5875.0,5767.8,5797.6,5820.4,3128.61960691,22151
2018-06-20,1529452800,5830.0,5881.0,5670.7,5837.4,5787.5,4651.76948142,16839
2018-06-19,1529366400,5765.1,5930.0,5735.0,5830.0,5827.6,5238.78369087,23926
2018-06-18,1529280000,5550.0,5856.0,5509.2,5765.1,5671.2,5173.76081471,27216
2018-06-17,1529193600,5586.8,5658.7,5532.8,5552.7,5592.2,1804.95585667,21213
2018-06-16,1529107200,5516.8,5639.7,5457.0,5586.8,5565.3,2866.34604289,12494
2018-06-15,1529020800,5746.6,5886.5,5500.0,5515.6,5660.9,6008.04587731,26478
2018-06-14,1528934400,5339.1,5791.3,5321.6,5746.7,5585.0,9176.37130469,46934
2018-06-13,1528848000,5585.0,5637.3,5250.0,5339.3,5432.8,10057.12931804,41259
2018-06-12,1528761600,5855.3,5855.3,5500.0,5585.0,5687.7,6346.23238892,26482
2018-06-11,1528675200,5753.4,5883.6,5630.1,5855.3,5739.5,6903.11251973,29836
2018-06-10,1528588800,6377.0,6377.0,5653.4,5753.4,5955.5,9719.47721349,31140
2018-06-09,1528502400,6474.1,6525.0,6350.0,6376.9,6462.5,1769.455032,17906
